Sample,Average_Probability,Number_of_Batches
TRUST_002079cb-bf4a-47ed-a327-fb797aa63f5c_airr_extracted_trb_frequencies_filtered.tsv,0.6931,1
TRUST_019c8219-31e2-4bcb-8801-d8248f17040b_airr_extracted_trb_frequencies_filtered.tsv,0.5312,1
TRUST_0205d1df-e419-4279-861b-5bedcac06c77_airr_extracted_trb_frequencies_filtered.tsv,0.6296,1
TRUST_020ed736-5e9c-4f64-af48-fc5c281ce687_airr_extracted_trb_frequencies_filtered.tsv,0.6783,1
TRUST_062e2c3e-567c-4012-8d26-bcc088e15d31_airr_extracted_trb_frequencies_filtered.tsv,0.5673,1
TRUST_06a354c0-ae02-499d-b9da-5b88f63d97f6_airr_extracted_trb_frequencies_filtered.tsv,0.6432,1
TRUST_07a5f6c9-f40b-4636-b3c2-6970f51afb89_airr_extracted_trb_frequencies_filtered.tsv,0.4491,1
TRUST_093d5708-05aa-4101-acd0-82d6bdcad249_airr_extracted_trb_frequencies_filtered.tsv,0.5896,1
TRUST_0bdc189b-5fe6-4f58-a47b-351c2124c232_airr_extracted_trb_frequencies_filtered.tsv,0.6468,1
TRUST_0c8cd4ea-8477-4e76-9d82-02be4bf16141_airr_extracted_trb_frequencies_filtered.tsv,0.6255,2
TRUST_10920d36-d1f9-4dec-88be-4ef4c87c7a79_airr_extracted_trb_frequencies_filtered.tsv,0.5063,1
TRUST_12910156-b333-4c54-ab32-4adf9dfac3f7_airr_extracted_trb_frequencies_filtered.tsv,0.4429,1
TRUST_13ac52fd-ce9d-4a06-869e-a88c954ee098_airr_extracted_trb_frequencies_filtered.tsv,0.5138,1
TRUST_157e33cd-b039-4088-a291-1e5f0033a7b2_airr_extracted_trb_frequencies_filtered.tsv,0.4505,1
TRUST_1619a994-99b2-4000-b214-cc6906d4e23a_airr_extracted_trb_frequencies_filtered.tsv,0.6717,1
TRUST_168fa135-546d-4878-81e0-cab85c315236_airr_extracted_trb_frequencies_filtered.tsv,0.5388,1
TRUST_179ffb31-e798-477c-aa05-35ae8cf82cae_airr_extracted_trb_frequencies_filtered.tsv,0.5785,1
TRUST_1810358e-9ab4-45b4-baf9-0f83b29f692b_airr_extracted_trb_frequencies_filtered.tsv,0.6404,1
TRUST_188ed6a6-092f-44ba-bb16-09a0a15e0864_airr_extracted_trb_frequencies_filtered.tsv,0.6388,2
TRUST_19125545-fdad-411d-a389-c1820979e947_airr_extracted_trb_frequencies_filtered.tsv,0.6607,2
TRUST_1989e89c-e7d1-4ee3-931d-bd34fe70e880_airr_extracted_trb_frequencies_filtered.tsv,0.6042,1
TRUST_198b8772-422f-4745-9959-9c13c9bc57f2_airr_extracted_trb_frequencies_filtered.tsv,0.5738,1
TRUST_19d2f9a5-9e31-4bbd-965b-7bb4d3b8a53d_airr_extracted_trb_frequencies_filtered.tsv,0.6586,11
TRUST_1b929291-17f2-4818-84f9-b10d865aa541_airr_extracted_trb_frequencies_filtered.tsv,0.6305,1
TRUST_1c13b4a2-4617-404c-9beb-c30441f3d294_airr_extracted_trb_frequencies_filtered.tsv,0.3668,1
TRUST_1e5978f1-0cb9-44fa-aaf3-b28c75a03499_airr_extracted_trb_frequencies_filtered.tsv,0.5264,1
TRUST_1e5ea0dd-c5f0-47c5-a046-bbf759ea7861_airr_extracted_trb_frequencies_filtered.tsv,0.5867,1
TRUST_1e7a9e1f-c900-465e-a27c-1e1e9b3af1c4_airr_extracted_trb_frequencies_filtered.tsv,0.4038,1
TRUST_2016ed68-bccd-4995-85c9-0e7611028811_airr_extracted_trb_frequencies_filtered.tsv,0.6767,1
TRUST_222cfdc4-1961-4cec-bc7c-7ae15c004179_airr_extracted_trb_frequencies_filtered.tsv,0.5182,1
TRUST_23b97dc7-3c85-445c-be9b-e6e4e02d452c_airr_extracted_trb_frequencies_filtered.tsv,0.6536,1
TRUST_2460175a-5c8f-4d77-89e2-6bc36204c73a_airr_extracted_trb_frequencies_filtered.tsv,0.6132,1
TRUST_2515a4ae-56ac-45bc-8fa8-2a3d3f7f9b15_airr_extracted_trb_frequencies_filtered.tsv,0.4152,1
TRUST_255b9298-934b-428e-9b36-3b5ff063b41e_airr_extracted_trb_frequencies_filtered.tsv,0.6295,1
TRUST_25f6e426-be3f-4684-b3a3-7b9151cb207c_airr_extracted_trb_frequencies_filtered.tsv,0.6841,1
TRUST_27042bff-53b3-45d6-834c-a59ec580d451_airr_extracted_trb_frequencies_filtered.tsv,0.6251,1
TRUST_29567dfc-4b17-470c-b646-ff7ee0ad2ea2_airr_extracted_trb_frequencies_filtered.tsv,0.6462,1
TRUST_29767873-1b35-429c-a821-6d574c7678d5_airr_extracted_trb_frequencies_filtered.tsv,0.6716,1
TRUST_2a537e43-9cd9-49ae-8174-b28444ca14b5_airr_extracted_trb_frequencies_filtered.tsv,0.6175,1
TRUST_2b91021e-82d0-4d5f-a19e-5c52a845bc4f_airr_extracted_trb_frequencies_filtered.tsv,0.6595,1
TRUST_2c1256e6-3f87-4943-8463-b8983ab78e5d_airr_extracted_trb_frequencies_filtered.tsv,0.5109,1
TRUST_2c4c484d-12b2-4791-aa26-754f7d16d643_airr_extracted_trb_frequencies_filtered.tsv,0.5522,1
TRUST_2c5497dc-1e90-40a1-9c75-a002a6664075_airr_extracted_trb_frequencies_filtered.tsv,0.5137,1
TRUST_2cf68099-64eb-498d-84f2-f51ca0b80ee8_airr_extracted_trb_frequencies_filtered.tsv,0.4328,1
TRUST_2e39c90b-46ee-4168-81c5-13503cb4120d_airr_extracted_trb_frequencies_filtered.tsv,0.3942,1
TRUST_3056b45d-df71-4b98-8b3e-01b0b78fc96c_airr_extracted_trb_frequencies_filtered.tsv,0.5041,1
TRUST_315e404a-9e40-4efb-b789-21107326ba69_airr_extracted_trb_frequencies_filtered.tsv,0.4719,1
TRUST_31b54a81-2aa5-4f6b-b3c8-902dfb0cad00_airr_extracted_trb_frequencies_filtered.tsv,0.5468,1
TRUST_333c75a3-b941-47a5-8c1a-760643ceceb2_airr_extracted_trb_frequencies_filtered.tsv,0.6122,1
TRUST_34d3a189-b243-4870-b887-a3fc627b037d_airr_extracted_trb_frequencies_filtered.tsv,0.6717,1
TRUST_36a05365-f357-43d4-885b-0882c1ff33ad_airr_extracted_trb_frequencies_filtered.tsv,0.6218,1
TRUST_3723f4d1-0759-488f-a61d-102cba15b29b_airr_extracted_trb_frequencies_filtered.tsv,0.5626,1
TRUST_3786ba73-caac-4076-9a8a-5c1607913e67_airr_extracted_trb_frequencies_filtered.tsv,0.5741,1
TRUST_389a8b08-20b5-448f-b6a6-f6949a34c814_airr_extracted_trb_frequencies_filtered.tsv,0.6377,1
TRUST_38dd29ce-7af4-4958-81d0-d993d2a22433_airr_extracted_trb_frequencies_filtered.tsv,0.5884,1
TRUST_3b3b490d-1dd6-40b8-8847-34ff630e159d_airr_extracted_trb_frequencies_filtered.tsv,0.6803,10
TRUST_3c383b35-ab5d-4776-906f-551f83fe6af2_airr_extracted_trb_frequencies_filtered.tsv,0.3831,1
TRUST_3cf48114-c430-41e7-86a0-bfa37841a2b4_airr_extracted_trb_frequencies_filtered.tsv,0.5095,1
TRUST_3fb80c81-1475-4374-9694-fad58489a197_airr_extracted_trb_frequencies_filtered.tsv,0.4595,1
TRUST_404024d4-f8e8-454c-9ded-93e82fe747eb_airr_extracted_trb_frequencies_filtered.tsv,0.5019,1
